TIPO_REG,U_DPTO,U_MPIO,UA_CLASE,COD_ENCUESTAS,U_VIVIENDA,F_NROHOG,FA1_NRO_FALL,FA2_SEXO_FALL,FA3_EDAD_FALL,FA4_CERT_DEFUN
3,13,001,1,1863848,3,1,1,2,77,1
3,13,001,1,1864097,1,1,1,2,14,1
3,13,001,1,1864147,2,1,1,1,50,1
3,13,001,1,1864170,3,1,1,1,0,1
3,13,001,1,1864244,1,1,1,1,92,1
3,13,001,1,1864261,1,1,1,1,61,1
3,13,001,1,1864280,3,1,1,2,73,1
3,13,001,1,1864323,1,1,1,2,67,1
3,13,001,1,1878851,1,1,1,2,76,1
3,13,001,1,1878868,1,1,1,1,57,1
3,13,001,1,1879737,1,1,1,2,1,9
3,13,001,1,1879744,3,1,1,2,95,1
3,13,001,1,1879745,4,1,1,9,999,9
3,13,001,1,1879753,1,1,1,1,74,1
3,13,001,1,1890684,2,1,1,2,82,1
3,13,001,1,1890687,1,1,1,2,92,1
3,13,001,1,1890865,9,1,1,2,85,1
3,13,001,1,1891335,1,1,1,2,86,1
3,13,001,1,1891418,1,1,1,2,104,9
